Serial_Number,List_Year,Town,Address,Assessed_Value,Sale_Amount,Sales_Ratio,Property_Type,Residential_Type,Years_until_sold
160082,2016,Bloomfield,84 SILO WAY,91560,142000,0.644788732,Condo,Condo,0
160278,2016,Avon,34 HERITAGE DRIVE,103910,142500,0.729192982,Condo,Condo,1
160448,2016,Hamden,415 MATHER ST,960610,950000,1.011168421,Nan,Nan,1
167321,2016,Bridgeport,480 BUNNELL ST,1040740,1600000,0.6504625,Nan,Nan,1
160490,2016,Branford,1 PONDS,338700,412500,0.821090909,Condo,Condo,1
160263,2016,New Canaan,21 BURTIS AVE,420420,800000,0.525525,Nan,Nan,1
160485,2016,Hamden,143 FRANKLIN RD,455840,512500,0.889443902,Nan,Nan,1
16311,2016,Newington,104 STERLING DR,192770,290000,0.664724138,Condo,Condo,1
160048,2016,New London,12 EASY ST,188090,325000,0.578738462,Condo,Condo,0
16100,2016,Newington,111 HOLMES ROAD,761660,885000,0.860632768,Nan,Nan,0
16049,2016,Durham,CHERRY LANE,69650,55000,1.266363636,Nan,Nan,1
16203,2016,Derby,613 BEAU VIEW HGHTS,70140,117500,0.59693617,Condo,Condo,1
167930,2016,Bridgeport,95 LANCE CIR,105820,148000,0.715,Condo,Condo,1
16259,2016,Newington,37 SUNNY BROOK,156440,215000,0.727627907,Condo,Condo,1
160493,2016,Branford,347 WALDEN GREEN,96100,155000,0.62,Condo,Condo,1
160327,2016,Ledyard,38-4 FAIRWAY DR,90790,132000,0.68780303,Condo,Condo,1
160100,2016,Cromwell,61 SHUNPIKE ROAD,559250,1102500,0.507256236,Nan,Nan,1
160387,2016,Bridgeport,1891 EAST MAIN ST,135840,145000,0.936827586,Nan,Nan,0
160632,2016,Danbury,78 LAKE AV,419400,900000,0.466,Nan,Nan,1
16280,2016,Newington,61 COBBLESTONE,199700,250000,0.7988,Condo,Condo,1
1600164,2016,Guilford,18 FAIR ST UNIT 2,418880,625000,0.670208,Condo,Condo,1
160684,2016,Bristol,371 EMMETT ST #73,57050,78900,0.723067174,Condo,Condo,1
160879,2016,Bridgeport,1084 MADISON AVE,258100,325000,0.794153846,Nan,Nan,1
160225,2016,Branford,31 ACORN RD,310100,500000,0.6202,Nan,Nan,1
160049,2016,Canterbury,KINNE RD,41300,75000,0.550666667,Nan,Nan,1
16494,2016,Newington,365 WILLARD AVE,173250,457000,0.379102845,Nan,Nan,1
160056,2016,New London,85 NILES HILL RD 14,41650,59500,0.7,Condo,Condo,0
160087,2016,Cheshire,405 MAPLE AVENUE,363190,730000,0.497520548,Nan,Nan,0
160247,2016,Hamden,861 DIXWELL AVE,128030,150000,0.853533333,Nan,Nan,0
160519,2016,Meriden,93 MATTABASSET DR,74970,126000,0.595,Condo,Condo,1
16468,2016,Newington,140 CYPRESS RD,98160,150000,0.6544,Condo,Condo,1
160204,2016,East Haddam,150 SALEM RD,46480,65000,0.715076923,Nan,Nan,1
160059,2016,East Haddam,LAUREL COVE RD,56450,65000,0.868461538,Nan,Nan,1
160204,2016,New London,PARKWAY SOUTH,60480,99000,0.610909091,Nan,Nan,1
16000129,2016,Granby,352 SALMON BROOK ST,101290,87000,1.164252874,Nan,Nan,1
160812,2016,Hamden,2308 WHITNEY AVE,335090,460000,0.728456522,Nan,Nan,1
16361,2016,Farmington,LOT 2 WAKEFIELD LA,206850,275000,0.752181818,Nan,Nan,1
160224,2016,Branford,31 HARBOR SIDE,459600,740000,0.621081081,Condo,Condo,1
160123,2016,Hamden,17 WEBB ST,144270,208500,0.691942446,Nan,Nan,0
16010,2016,Farmington,2 PARTRIDGE LA,177280,275000,0.644654545,Condo,Condo,0
160285,2016,Greenwich,60-62 MASON ST,1563030,2800000,0.558225,Nan,Nan,1
160823,2016,Killingly,203 WHETSTONE MILLS,52360,44000,1.19,Condo,Condo,1
16166,2016,Derby,82 SUMMIT COMMONS,89390,157100,0.569000637,Condo,Condo,1
16216,2016,Monroe,296 GARDER RD,86900,133000,0.653383459,Nan,Nan,1
160041,2016,Ellington,48 GRAND BLVD,182830,277900,0.657898525,Condo,Condo,0
1600025,2016,Guilford,7 RIVER COLONY,93510,140000,0.667928571,Condo,Condo,0
16488,2016,Newtown,27 HUNDRED ACRES ROAD,96330,150000,0.6422,Nan,Nan,1
160510,2016,Danbury,20 RESERVOIR RD,5700,7500,0.76,Nan,Nan,1
160166,2016,Prospect,20 BLUE TRAIL DR,82600,115000,0.71826087,Nan,Nan,1
160041,2016,Thomaston,95 OLD WATERBURY RD,135030,225000,0.600133333,Nan,Nan,1
16115,2016,Seymour,116 BUNGAY RD,79170,130000,0.609,Nan,Nan,1
160237,2016,Norwich,56 BROAD ST,122800,220000,0.558181818,Nan,Nan,1
161027,2016,Norwalk,10 SOUTH SMITH ST,154850,300000,0.516166667,Nan,Nan,1
16013,2016,Orange,233 BOSTON POST RD,323200,440000,0.734545455,Nan,Nan,0
16015,2016,Seymour,3 DAISY DR UNIT B,110530,144500,0.764913495,Condo,Condo,0
1600062,2016,Sterling,4  LOGANS WAY,30700,25000,1.228,Nan,Nan,1
160211,2016,Waterford,719 VAUXHALL ST EXT,44450,56200,0.790925267,Nan,Nan,1
160738,2016,Stratford,1480 BARNUM AVE,832790,1050000,0.793133333,Nan,Nan,1
160091,2016,Putnam,3 ARCH ST,43800,90000,0.486666667,Nan,Nan,1
160037,2016,Somers,90 OLD HAMPDEN RD,24100,80000,0.30125,Nan,Nan,0
160125,2016,Stafford,44 TOLLAND AVE #59,74830,100000,0.7483,Condo,Condo,1
160217,2016,Windsor,116 HIGH PATH RD,39690,90000,0.441,Condo,Condo,1
160076,2016,Southbury,581 A HERITAGE VILLAGE,85120,190000,0.448,Condo,Condo,0
160039,2016,Norwalk,30 BROOKFIELD ST,284592,400000,0.71148,Nan,Nan,0
160226,2016,Trumbull,12 CAMBRIDGE DR,1973300,2400000,0.822208333,Nan,Nan,1
160254,2016,Salem,504 OLD COLCHESTER RD,54600,75000,0.728,Nan,Nan,1
160099,2016,Norwalk,12 FITCH ST,889290,1100000,0.808445455,Nan,Nan,0
160288,2016,Salem,607 WEST RD,50600,52500,0.963809524,Nan,Nan,1
160068,2016,Southbury,199 BURMA RD,100190,100000,1.0019,Nan,Nan,0
160262,2016,Windsor,387 PALISADO AVE,83370,125000,0.66696,Nan,Nan,1
160014,2016,Sprague,4 MISSION ST,36400,35000,1.04,Nan,Nan,1
160409,2016,Southington,MERIDEN AV,60660,140000,0.433285714,Nan,Nan,1
160162,2016,Stonington,22 MORGAN ST,4200,8000,0.525,Nan,Nan,1
160366,2016,Southington,19 WEST MAIN ST,148450,290000,0.511896552,Nan,Nan,1
161176,2016,Woodbury,138 QUANOPAUG TRAIL,65240,63000,1.035555556,Nan,Nan,1
160334,2016,Southington,88 STEEPLE CHASE DR,115210,200000,0.57605,Nan,Nan,1
160256,2016,Windsor,494 STONE RD,116060,95000,1.221684211,Nan,Nan,1
160070,2016,Windsor,9 HASKINS RD,181580,258000,0.70379845,Condo,Condo,0
160413,2016,Stonington,4 NORTHWEST ST B27,25200,30000,0.84,Condo,Condo,1
160209,2016,Waterford,105 BOSTON POST RD,907200,1300000,0.697846154,Nan,Nan,1
161184,2016,Woodbury,74 WASHINGTON RD,64340,87500,0.735314286,Nan,Nan,1
160369,2016,Trumbull,16 EASTWOOD RD,246050,380000,0.6475,Single Family,Single Family,1
160106,2016,Thomaston,196 HUMISTON CIRCE,119280,150000,0.7952,Single Family,Single Family,1
